15/06/28 23:21:55 INFO input.FileInputFormat: Total input paths to process : 43008
15/06/28 23:22:41 INFO mapreduce.JobSubmitter: number of splits:43008
15/06/28 23:22:41 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_24369
15/06/28 23:22:42 INFO impl.YarnClientImpl: Submitted application application_1434651818028_24369
15/06/28 23:22:42 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_24369/
15/06/29 02:59:06 INFO mapreduce.Job:  map 55% reduce 5%
15/06/29 03:00:38 INFO mapreduce.Job:  map 55% reduce 6%
15/06/29 03:02:48 INFO mapreduce.Job:  map 55% reduce 7%
15/06/29 03:02:57 INFO mapreduce.Job:  map 56% reduce 7%
15/06/29 03:04:14 INFO mapreduce.Job:  map 56% reduce 8%
15/06/29 03:05:28 INFO mapreduce.Job:  map 56% reduce 9%
15/06/29 03:06:04 INFO mapreduce.Job:  map 56% reduce 49%
15/06/29 03:06:05 INFO mapreduce.Job:  map 56% reduce 0%
15/06/29 03:06:52 INFO mapreduce.Job:  map 56% reduce 1%
15/06/29 03:07:56 INFO mapreduce.Job:  map 56% reduce 2%
15/06/29 03:08:16 INFO mapreduce.Job:  map 57% reduce 2%
15/06/29 03:08:19 INFO mapreduce.Job:  map 57% reduce 5%
15/06/29 03:08:20 INFO mapreduce.Job:  map 57% reduce 0%
15/06/29 03:09:24 INFO mapreduce.Job:  map 57% reduce 1%
15/06/29 03:10:58 INFO mapreduce.Job:  map 57% reduce 2%
15/06/29 03:12:25 INFO mapreduce.Job:  map 57% reduce 3%
15/06/29 03:13:46 INFO mapreduce.Job:  map 57% reduce 4%
15/06/29 03:15:06 INFO mapreduce.Job:  map 57% reduce 5%
15/06/29 03:16:23 INFO mapreduce.Job:  map 57% reduce 6%
15/06/29 03:16:45 INFO mapreduce.Job:  map 58% reduce 6%
15/06/29 03:17:46 INFO mapreduce.Job:  map 58% reduce 7%
15/06/29 03:21:11 INFO mapreduce.Job:  map 58% reduce 8%
