15/06/26 05:01:38 INFO input.FileInputFormat: Total input paths to process : 47616
15/06/26 05:02:18 INFO mapreduce.JobSubmitter: number of splits:47616
15/06/26 05:02:19 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_14061
15/06/26 05:02:19 INFO impl.YarnClientImpl: Submitted application application_1434651818028_14061
15/06/26 05:02:19 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_14061/
15/06/26 05:02:19 INFO mapreduce.Job: Running job: job_1434651818028_14061
15/06/26 05:02:28 INFO mapreduce.Job: Job job_1434651818028_14061 running in uber mode : false
15/06/26 09:52:14 INFO mapreduce.Job:  map 84% reduce 14%
15/06/26 09:53:06 INFO mapreduce.Job:  map 84% reduce 15%
15/06/26 09:53:41 INFO mapreduce.Job:  map 85% reduce 15%
15/06/26 09:53:53 INFO mapreduce.Job:  map 85% reduce 16%
15/06/26 09:54:36 INFO mapreduce.Job:  map 85% reduce 17%
15/06/26 09:55:17 INFO mapreduce.Job:  map 85% reduce 18%
15/06/26 09:55:21 INFO mapreduce.Job:  map 86% reduce 18%
15/06/26 09:55:57 INFO mapreduce.Job:  map 86% reduce 19%
15/06/26 09:56:31 INFO mapreduce.Job:  map 86% reduce 20%
15/06/26 09:57:03 INFO mapreduce.Job:  map 87% reduce 20%
15/06/26 09:57:06 INFO mapreduce.Job:  map 87% reduce 21%
15/06/26 09:57:48 INFO mapreduce.Job:  map 87% reduce 22%
15/06/26 09:58:33 INFO mapreduce.Job:  map 87% reduce 23%
15/06/26 09:59:15 INFO mapreduce.Job:  map 87% reduce 0%
15/06/26 09:59:38 INFO mapreduce.Job:  map 87% reduce 1%
15/06/26 10:00:17 INFO mapreduce.Job:  map 87% reduce 2%
15/06/26 10:00:40 INFO mapreduce.Job:  map 88% reduce 2%
15/06/26 10:00:55 INFO mapreduce.Job:  map 88% reduce 3%
15/06/26 10:01:27 INFO mapreduce.Job:  map 88% reduce 4%
15/06/26 10:02:00 INFO mapreduce.Job:  map 88% reduce 5%
15/06/26 10:02:30 INFO mapreduce.Job:  map 88% reduce 6%
15/06/26 10:02:46 INFO mapreduce.Job:  map 89% reduce 6%
15/06/26 10:03:02 INFO mapreduce.Job:  map 89% reduce 7%
15/06/26 10:03:31 INFO mapreduce.Job:  map 89% reduce 8%
15/06/26 10:04:01 INFO mapreduce.Job:  map 89% reduce 9%
15/06/26 10:04:26 INFO mapreduce.Job:  map 89% reduce 10%
15/06/26 10:04:51 INFO mapreduce.Job:  map 89% reduce 11%
15/06/26 10:05:01 INFO mapreduce.Job:  map 89% reduce 1%
15/06/26 10:05:02 INFO mapreduce.Job:  map 89% reduce 0%
15/06/26 10:05:33 INFO mapreduce.Job:  map 90% reduce 1%
15/06/26 10:06:14 INFO mapreduce.Job:  map 90% reduce 2%
15/06/26 10:06:54 INFO mapreduce.Job:  map 90% reduce 3%
15/06/26 10:07:40 INFO mapreduce.Job:  map 90% reduce 4%
15/06/26 10:08:22 INFO mapreduce.Job:  map 90% reduce 5%
15/06/26 10:09:06 INFO mapreduce.Job:  map 90% reduce 6%
15/06/26 10:09:07 INFO mapreduce.Job:  map 91% reduce 6%
15/06/26 10:09:45 INFO mapreduce.Job:  map 91% reduce 7%
15/06/26 10:10:21 INFO mapreduce.Job:  map 91% reduce 8%
15/06/26 10:10:58 INFO mapreduce.Job:  map 91% reduce 9%
15/06/26 10:11:27 INFO mapreduce.Job:  map 91% reduce 10%
15/06/26 10:11:57 INFO mapreduce.Job:  map 91% reduce 11%
15/06/26 10:12:29 INFO mapreduce.Job:  map 91% reduce 12%
15/06/26 10:13:11 INFO mapreduce.Job:  map 91% reduce 13%
15/06/26 10:13:26 INFO mapreduce.Job:  map 92% reduce 13%
15/06/26 10:16:59 INFO mapreduce.Job:  map 93% reduce 13%
15/06/26 10:20:03 INFO mapreduce.Job:  map 94% reduce 13%
15/06/26 10:22:37 INFO mapreduce.Job:  map 94% reduce 14%
15/06/26 10:23:35 INFO mapreduce.Job:  map 95% reduce 14%
15/06/26 10:26:38 INFO mapreduce.Job:  map 96% reduce 14%
15/06/26 10:29:26 INFO mapreduce.Job:  map 97% reduce 14%
15/06/26 10:32:33 INFO mapreduce.Job:  map 98% reduce 14%
15/06/26 10:35:51 INFO mapreduce.Job:  map 99% reduce 14%
15/06/26 10:38:27 INFO mapreduce.Job:  map 100% reduce 14%
15/06/26 10:39:44 INFO mapreduce.Job:  map 100% reduce 15%
15/06/26 10:39:59 INFO mapreduce.Job:  map 100% reduce 16%
15/06/26 10:40:00 INFO mapreduce.Job:  map 100% reduce 20%
15/06/26 10:40:01 INFO mapreduce.Job:  map 100% reduce 23%
15/06/26 10:40:02 INFO mapreduce.Job:  map 100% reduce 25%
15/06/26 10:40:03 INFO mapreduce.Job:  map 100% reduce 28%
15/06/26 10:40:04 INFO mapreduce.Job:  map 100% reduce 29%
15/06/26 10:40:12 INFO mapreduce.Job:  map 100% reduce 30%
15/06/26 10:40:52 INFO mapreduce.Job:  map 100% reduce 31%
15/06/26 10:41:29 INFO mapreduce.Job:  map 100% reduce 32%
15/06/26 10:42:03 INFO mapreduce.Job:  map 100% reduce 33%
15/06/26 10:42:35 INFO mapreduce.Job:  map 100% reduce 34%
15/06/26 10:43:05 INFO mapreduce.Job:  map 100% reduce 35%
15/06/26 10:43:35 INFO mapreduce.Job:  map 100% reduce 36%
15/06/26 10:44:02 INFO mapreduce.Job:  map 100% reduce 37%
15/06/26 10:44:30 INFO mapreduce.Job:  map 100% reduce 38%
15/06/26 10:44:58 INFO mapreduce.Job:  map 100% reduce 39%
15/06/26 10:45:25 INFO mapreduce.Job:  map 100% reduce 40%
15/06/26 10:45:52 INFO mapreduce.Job:  map 100% reduce 41%
15/06/26 10:46:20 INFO mapreduce.Job:  map 100% reduce 42%
15/06/26 10:46:43 INFO mapreduce.Job:  map 100% reduce 43%
15/06/26 10:47:04 INFO mapreduce.Job:  map 100% reduce 44%
15/06/26 10:47:28 INFO mapreduce.Job:  map 100% reduce 45%
15/06/26 10:47:54 INFO mapreduce.Job:  map 100% reduce 46%
15/06/26 10:48:21 INFO mapreduce.Job:  map 100% reduce 47%
15/06/26 10:48:57 INFO mapreduce.Job:  map 100% reduce 48%
15/06/26 10:49:32 INFO mapreduce.Job:  map 100% reduce 49%
15/06/26 10:49:33 INFO mapreduce.Job:  map 100% reduce 50%
15/06/26 10:49:35 INFO mapreduce.Job:  map 100% reduce 53%
15/06/26 10:49:36 INFO mapreduce.Job:  map 100% reduce 54%
15/06/26 10:49:37 INFO mapreduce.Job:  map 100% reduce 56%
15/06/26 10:49:38 INFO mapreduce.Job:  map 100% reduce 57%
15/06/26 10:49:40 INFO mapreduce.Job:  map 100% reduce 58%
15/06/26 10:49:44 INFO mapreduce.Job:  map 100% reduce 59%
15/06/26 10:49:47 INFO mapreduce.Job:  map 100% reduce 60%
15/06/26 10:49:59 INFO mapreduce.Job:  map 100% reduce 61%
15/06/26 10:50:06 INFO mapreduce.Job:  map 100% reduce 62%
15/06/26 10:50:14 INFO mapreduce.Job:  map 100% reduce 63%
15/06/26 10:50:42 INFO mapreduce.Job:  map 100% reduce 64%
15/06/26 10:51:17 INFO mapreduce.Job:  map 100% reduce 65%
15/06/26 10:51:26 INFO mapreduce.Job:  map 100% reduce 66%
15/06/26 10:51:59 INFO mapreduce.Job:  map 100% reduce 67%
